Day,DD/MM/YYYY,Event,Time_start(HH:MM),Time_end(HH:MM)
Monday,01/10/2018,Wake up,8:00,8:00
Monday,01/10/2018,Viz Meeting,14:45,15:45
Monday,01/10/2018,Lunch,12:00,13:00
Monday,01/10/2018,Exercise,18:00,20:00
Monday,01/10/2018,Sleep,23:30,8:00
Tuesday,02/10/2018,Wake up,8:00,8:00
Tuesday,02/10/2018,Lunch,12:00,13:00
Tuesday,02/10/2018,CS7340,15:25,17:05
Tuesday,02/10/2018,Sleep,23:30,8:00
Wednesday,03/10/2018,Wake up,8:00,8:00
Wednesday,03/10/2018,Lunch,12:00,13:00
Wednesday,03/10/2018,Exercise,18:00,20:00
Wednesday,03/10/2018,Sleep,23:30,8:00
Thursday,04/10/2018,Wake up,8:00,8:00
Thursday,04/10/2018,Lunch,12:00,13:00
Thursday,04/10/2018,Sleep,23:30,8:00
Friday,05/10/2018,Wake up,8:00,8:00
Friday,05/10/2018,Lunch,12:00,13:00
Friday,05/10/2018,CS7340,15:25,17:05
Friday,05/10/2018,Exercise,18:00,20:00
Saturday,06/10/2018,Sleep,1:30,10:00
Saturday,06/10/2018,Wake up,10:00,10:00
Saturday,06/10/2018,Lunch,13:00,14:00
Sunday,07/10/2018,Sleep,2:00,11:00
Sunday,07/10/2018,Wake up,11:00,11:00
Sunday,07/10/2018,Lunch,14:00,15:00
Sunday,07/10/2018,Sleep,23:30,8:00
Monday,08/10/2018,Wake up,8:00,8:00
Monday,08/10/2018,Viz Meeting,14:45,15:45
Monday,08/10/2018,Lunch,12:00,13:00
Monday,08/10/2018,Exercise,18:00,20:00
Monday,08/10/2018,Sleep,23:30,8:00
Tuesday,09/10/2018,Wake up,8:00,8:00
Tuesday,09/10/2018,Lunch,12:00,13:00
Tuesday,09/10/2018,CS7340,15:25,17:05
Tuesday,09/10/2018,Sleep,23:30,8:00
Wednesday,10/10/2018,Wake up,8:00,8:00
Wednesday,10/10/2018,Lunch,12:00,13:00
Wednesday,10/10/2018,Exercise,18:00,20:00
Wednesday,10/10/2018,Sleep,23:30,8:00
Thursday,11/10/2018,Wake up,8:00,8:00
Thursday,11/10/2018,Lunch,12:00,13:00
Thursday,11/10/2018,Sleep,23:30,8:00
Friday,12/10/2018,Wake up,8:00,8:00
Friday,12/10/2018,Lunch,12:00,13:00
Friday,12/10/2018,CS7340,15:25,17:05
Friday,12/10/2018,Exercise,18:00,20:00
Saturday,13/10/2018,Sleep,1:30,10:00
Saturday,13/10/2018,Wake up,10:00,10:00
Saturday,13/10/2018,Lunch,13:00,14:00
Sunday,14/10/2018,Sleep,2:00,11:00
Sunday,14/10/2018,Wake up,11:00,11:00
Sunday,14/10/2018,Lunch,14:00,15:00
Sunday,14/10/2018,Sleep,23:30,8:00
Monday,15/10/2018,Wake up,8:00,8:00
Monday,15/10/2018,Viz Meeting,14:45,15:45
Monday,15/10/2018,Lunch,12:00,13:00
Monday,15/10/2018,Exercise,18:00,20:00
Monday,15/10/2018,Sleep,23:30,8:00
Tuesday,16/10/2018,Wake up,8:00,8:00
Tuesday,16/10/2018,Lunch,12:00,13:00
Tuesday,16/10/2018,CS7340,15:25,17:05
Tuesday,16/10/2018,Sleep,23:30,8:00
Wednesday,17/10/2018,Wake up,8:00,8:00
Wednesday,17/10/2018,Lunch,12:00,13:00
Wednesday,17/10/2018,Exercise,18:00,20:00
Wednesday,17/10/2018,Sleep,23:30,8:00
Thursday,18/10/2018,Wake up,8:00,8:00
Thursday,18/10/2018,Lunch,12:00,13:00
Thursday,18/10/2018,Sleep,23:30,8:00
Friday,19/10/2018,Wake up,8:00,8:00
Friday,19/10/2018,Lunch,12:00,13:00
Friday,19/10/2018,CS7340,15:25,17:05
Friday,19/10/2018,Exercise,18:00,20:00
Saturday,20/10/2018,Sleep,1:30,10:00
Saturday,20/10/2018,Wake up,10:00,10:00
Saturday,20/10/2018,Lunch,13:00,14:00
Sunday,21/10/2018,Sleep,2:00,11:00
Sunday,21/10/2018,Wake up,11:00,11:00
Sunday,21/10/2018,Lunch,14:00,15:00
Sunday,21/10/2018,Sleep,23:30,8:00
